2018/06/05 18:52:39 [error] 2465#0: *160949 kevent() reported that connect() failed (54: Connection reset by peer) while connecting to upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /testlogin/ HTTP/1.1", upstream: "http://127.0.0.1:9000/testlogin/", host: "127.0.0.1:8888"
2018/06/05 18:52:41 [error] 2465#0: *161203 kevent() reported about an closed connection (54: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /testlogin/ HTTP/1.1", upstream: "http://127.0.0.1:9000/testlogin/", host: "127.0.0.1:8888"
2018/06/05 18:52:41 [error] 2465#0: *161134 kevent() reported that connect() failed (54: Connection reset by peer) while connecting to upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /testlogin/ HTTP/1.1", upstream: "http://127.0.0.1:9000/testlogin/", host: "127.0.0.1:8888"
2018/06/05 18:52:41 [error] 2465#0: *160735 kevent() reported that connect() failed (54: Connection reset by peer) while connecting to upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /testlogin/ HTTP/1.1", upstream: "http://127.0.0.1:9000/testlogin/", host: "127.0.0.1:8888"
2018/06/05 18:52:41 [error] 2465#0: *161259 kevent() reported that connect() failed (54: Connection reset by peer) while connecting to upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /testlogin/ HTTP/1.1", upstream: "http://127.0.0.1:9000/testlogin/", host: "127.0.0.1:8888"
2018/06/05 18:52:41 [error] 2465#0: *161116 kevent() reported that connect() failed (54: Connection reset by peer) while connecting to upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /testlogin/ HTTP/1.1", upstream: "http://127.0.0.1:9000/testlogin/", host: "127.0.0.1:8888"
2018/06/05 18:52:41 [error] 2465#0: *161299 kevent() reported that connect() failed (54: Connection reset by peer) while connecting to upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /testlogin/ HTTP/1.1", upstream: "http://127.0.0.1:9000/testlogin/", host: "127.0.0.1:8888"
2018/06/05 18:52:41 [error] 2465#0: *161148 kevent() reported that connect() failed (54: Connection reset by peer) while connecting to upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /testlogin/ HTTP/1.1", upstream: "http://127.0.0.1:9000/testlogin/", host: "127.0.0.1:8888"
2018/06/05 18:52:41 [error] 2465#0: *160870 kevent() reported that connect() failed (54: Connection reset by peer) while connecting to upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /testlogin/ HTTP/1.1", upstream: "http://127.0.0.1:9000/testlogin/", host: "127.0.0.1:8888"
2018/06/05 18:52:41 [error] 2465#0: *161143 kevent() reported that connect() failed (54: Connection reset by peer) while connecting to upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /testlogin/ HTTP/1.1", upstream: "http://127.0.0.1:9000/testlogin/", host: "127.0.0.1:8888"
2018/06/05 18:52:41 [error] 2465#0: *161270 kevent() reported that connect() failed (54: Connection reset by peer) while connecting to upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /testlogin/ HTTP/1.1", upstream: "http://127.0.0.1:9000/testlogin/", host: "127.0.0.1:8888"
2018/06/05 18:52:42 [error] 2465#0: *161503 kevent() reported about an closed connection (54: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /testlogin/ HTTP/1.1", upstream: "http://127.0.0.1:9000/testlogin/", host: "127.0.0.1:8888"
2018/06/05 18:52:42 [error] 2465#0: *161404 kevent() reported about an closed connection (54: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /testlogin/ HTTP/1.1", upstream: "http://127.0.0.1:9000/testlogin/", host: "127.0.0.1:8888"
2018/06/05 18:52:42 [error] 2465#0: *161553 kevent() reported about an closed connection (54: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /testlogin/ HTTP/1.1", upstream: "http://127.0.0.1:9000/testlogin/", host: "127.0.0.1:8888"
2018/06/05 18:52:42 [error] 2465#0: *161551 kevent() reported about an closed connection (54: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /testlogin/ HTTP/1.1", upstream: "http://127.0.0.1:9000/testlogin/", host: "127.0.0.1:8888"
2018/06/05 18:52:42 [error] 2465#0: *161549 kevent() reported about an closed connection (54: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /testlogin/ HTTP/1.1", upstream: "http://127.0.0.1:9000/testlogin/", host: "127.0.0.1:8888"
2018/06/05 18:52:42 [error] 2465#0: *161547 kevent() reported about an closed connection (54: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /testlogin/ HTTP/1.1", upstream: "http://127.0.0.1:9000/testlogin/", host: "127.0.0.1:8888"
2018/06/05 18:52:42 [error] 2465#0: *160980 kevent() reported that connect() failed (54: Connection reset by peer) while connecting to upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /testlogin/ HTTP/1.1", upstream: "http://127.0.0.1:9000/testlogin/", host: "127.0.0.1:8888"
2018/06/05 18:52:42 [error] 2465#0: *161030 kevent() reported that connect() failed (54: Connection reset by peer) while connecting to upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /testlogin/ HTTP/1.1", upstream: "http://127.0.0.1:9000/testlogin/", host: "127.0.0.1:8888"
2018/06/05 18:52:42 [error] 2465#0: *161048 kevent() reported that connect() failed (54: Connection reset by peer) while connecting to upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /testlogin/ HTTP/1.1", upstream: "http://127.0.0.1:9000/testlogin/", host: "127.0.0.1:8888"
